day,run_id,audit_file,platform_id,record_seq,timestamp_utc,experiment_id,experiment_phase,semantic_intent_id,repetition_index,mission_index,concurrency_group_id,concurrent_peers,instruction_text,instruction_language,resolution_method,resolution_step,is_escalated,node_id,node_name,expected_node_id,nav_outcome,arrival_ok,xy_error_m,distance_traveled_m,start_x_m,start_y_m,start_yaw_rad,end_x_m,end_y_m,end_yaw_rad,amcl_converged,amcl_covariance_trace,resolve_ms,vlm_ms,nav_total_s,reroute_count,blocked_attempts,validation_allowed,validation_reason,confirmation_method,confirmation_signature_type,confirmed,confirmation_confidence,confirmation_parse_status,confirmation_prompt_md5,m3_promotion_triggered,m3_preferences_count,memory_status,digest_content_md5,digest_generated_at,memory_prefix_included,memory_prefix_chars,luminance_mean,image_start,image_start_md5,image_finish,image_finish_md5
day1_20260820,20260820_115934,day1_20260820/logs/audit_20260820_115934.jsonl,xplorer-c,1,2026-08-20T09:00:24.285+00:00,E0,,AD,1,1,,1,"the washroom got on fire, help me find something to stop the fire",en,L3a_m3_preference,0,no,8,cb202,8,mission_complete,True,0.207,1.973,2.1485,1.9607,-1.5149,2.1491,0.2006,-1.5614,True,0.055063,0.12373924255371094,0.0,22.54,0,[],True,ALLOW: all checks passed,vlm_landmark,landmark,True,HIGH,ok,1e750e376384b9018b536a1728d123ae,True,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,141.04,day1_20260820/logs/20260820_115934/mission_1_cb202/start.jpg,d50f68bb6dcf5fb98f933908b5db04c5,day1_20260820/logs/20260820_115934/mission_1_cb202/finish.jpg,25292069068d8a731d2ccdbb17876b5c
day1_20260820,20260820_121926,day1_20260820/logs/audit_20260820_121926.jsonl,xplorer-b,1,2026-08-20T09:20:02.176+00:00,E0,,AD,1,1,,1,"the washroom got on fire, help me find something to stop the fire",en,L3a_m3_preference,0,no,8,cb202,8,mission_complete_fallback,True,0.308,1.583,2.1999,1.6627,-1.4104,2.2681,0.3002,-1.5989,True,0.058755,0.13327598571777344,0.0,22.27,0,[],True,ALLOW: all checks passed,vlm_landmark,landmark,True,HIGH,ok,1e750e376384b9018b536a1728d123ae,True,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,139.53,day1_20260820/logs/20260820_121926/mission_1_cb202/start.jpg,da50e868f22f4a2bacf991e96445f850,day1_20260820/logs/20260820_121926/mission_1_cb202/finish.jpg,e69e4eec5270d918ecf0b081938b7589
day1_20260820,20260820_122950,day1_20260820/logs/audit_20260820_122950.jsonl,xplorer-c,1,2026-08-20T09:30:18.094+00:00,E1,,SW00,1,1,,1,go to node 0,en,L3a_deterministic,1,no,0,toilet_m,0,mission_complete,True,0.198,3.3,2.1082,1.7946,-1.5909,0.6807,0.081,-3.071,True,0.061555,0.1614093780517578,0.0,14.21,0,[],True,ALLOW: all checks passed,pose_based,none,True,HIGH,,,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,142.86,day1_20260820/logs/20260820_122950/mission_1_toilet_m/start.jpg,63dbbfd3b93ab5dc304c8f5ea81a2f7f,day1_20260820/logs/20260820_122950/mission_1_toilet_m/finish.jpg,83b965a55ed67ffe0d87b9079abd7e17
day1_20260820,20260820_123127,day1_20260820/logs/audit_20260820_123127.jsonl,xplorer-c,1,2026-08-20T09:31:48.546+00:00,E1,,SW01,1,1,,1,go to node 1,en,L3a_deterministic,1,no,1,hall_entry,1,mission_complete,True,0.189,2.002,2.3744,1.702,-1.775,0.6893,1.6487,-3.1275,True,0.07994,0.16236305236816406,0.0,10.95,0,[],True,ALLOW: all checks passed,,,,,,,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,134.42,day1_20260820/logs/20260820_123127/mission_1_hall_entry/start.jpg,f5fceb77407f836947761b13153639f1,,
day1_20260820,20260820_123233,day1_20260820/logs/audit_20260820_123233.jsonl,xplorer-c,1,2026-08-20T09:32:58.190+00:00,E1,,SW02,1,1,,1,go to node 2,en,L3a_deterministic,1,no,2,hall_exit,2,mission_complete,True,0.223,3.028,2.3366,1.6651,-1.1688,0.7139,3.137,3.0598,True,0.062113,0.21147727966308594,0.0,16.86,0,[],True,ALLOW: all checks passed,,,,,,,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,131.32,day1_20260820/logs/20260820_123233/mission_1_hall_exit/start.jpg,5bb34d471541ffb491b06ed9dc6bb03d,,
day1_20260820,20260820_123335,day1_20260820/logs/audit_20260820_123335.jsonl,xplorer-c,1,2026-08-20T09:34:16.644+00:00,E1,,SW04,1,1,,1,go to node 4,en,L3a_deterministic,1,no,4,toilet_f,4,mission_complete,True,0.15,6.512,2.3417,1.7625,-1.5492,0.6442,6.3592,-3.0903,True,0.03975,0.1819133758544922,0.0,35.84,0,[],True,ALLOW: all checks passed,pose_based,none,True,HIGH,,,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,139.45,day1_20260820/logs/20260820_123335/mission_1_toilet_f/start.jpg,05e58dfafa82730440c3119afa9ba8f5,day1_20260820/logs/20260820_123335/mission_1_toilet_f/finish.jpg,6b43fc27347f786729d565df048893fa
day1_20260820,20260820_123503,day1_20260820/logs/audit_20260820_123503.jsonl,xplorer-c,1,2026-08-20T09:35:44.318+00:00,E1,,SW05,1,1,,1,go to node 5,en,L3a_deterministic,1,no,5,cb204,5,mission_complete,True,0.168,3.841,2.333,1.6883,-1.5769,2.2895,4.6578,1.5523,True,0.045394,0.19073486328125,0.0,29.72,0,[],True,ALLOW: all checks passed,vlm_contextual,contextual,True,HIGH,ok,f594f968a1a3fef04c3095d9df17baa9,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,135.27,day1_20260820/logs/20260820_123503/mission_1_cb204/start.jpg,4a3bc365ee81c9bb13f450c1d92c33ee,day1_20260820/logs/20260820_123503/mission_1_cb204/finish.jpg,74448bf2a2f362dca5993f588f0f60d3
day1_20260820,20260820_123638,day1_20260820/logs/audit_20260820_123638.jsonl,xplorer-c,1,2026-08-20T09:37:21.026+00:00,E1,,SW08,1,1,,1,go to node 8,en,L3a_deterministic,1,no,8,cb202,8,mission_complete,True,0.085,1.78,2.3674,1.5121,-1.5715,2.2565,0.064,-1.4659,True,0.027703,0.1933574676513672,0.0,20.26,0,[],True,ALLOW: all checks passed,vlm_landmark,landmark,True,HIGH,ok,1e750e376384b9018b536a1728d123ae,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,141.28,day1_20260820/logs/20260820_123638/mission_1_cb202/start.jpg,13cfe05aa1384daf3c8cc99056429ad8,day1_20260820/logs/20260820_123638/mission_1_cb202/finish.jpg,c17260be918efff9deb01348870b03d6
day1_20260820,20260820_124328,day1_20260820/logs/audit_20260820_124328.jsonl,xplorer-c,1,2026-08-20T09:44:51.625+00:00,E1,,SW09,1,1,,1,go to node 9,en,L3a_deterministic,1,no,9,radiator,9,mission_complete,True,0.175,4.523,2.1815,1.6133,-1.5732,4.4094,-0.6507,-1.6165,True,0.051181,0.18405914306640625,0.0,25.77,0,[],True,ALLOW: all checks passed,vlm_landmark,landmark,True,HIGH,ok,e089c782ec4bc1b920c344141b688498,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,136.89,day1_20260820/logs/20260820_124328/mission_1_radiator/start.jpg,dfd5da552ba38c3f3bb041985b1091fa,day1_20260820/logs/20260820_124328/mission_1_radiator/finish.jpg,5c52a98fbf80a91cdafd7f549f9c8ad9
day1_20260820,20260820_124531,day1_20260820/logs/audit_20260820_124531.jsonl,xplorer-c,1,2026-08-20T09:46:32.433+00:00,E1,,SW13,1,1,,1,go to node 13,en,L3a_deterministic,1,no,13,plant_4,13,mission_complete,True,0.215,9.427,2.2427,1.643,-1.6436,7.591,5.2147,1.4738,True,0.04471,0.16164779663085938,0.0,46.55,0,[],True,ALLOW: all checks passed,vlm_landmark,landmark,True,HIGH,ok,5bdc909e4adef6bae4c10646ed3ca1e0,False,6,loaded,0fd61f9e82e8fe6991f0311014384e0c,2026-04-23T10:19:36.377832Z,True,460,134.02,day1_20260820/logs/20260820_124531/mission_1_plant_4/start.jpg,e9fd2cde7061b80af70aaee4057d206c,day1_20260820/logs/20260820_124531/mission_1_plant_4/finish.jpg,ce891b5972dd49531326b12b80e2bfe9
