# E7 — instructiunile de publicat, in ordinea de rulaj.
# Sursa autoritativa: E7_set_sigilat_v2.csv, md5 1ebb16730b30a1ee8c97f11e6b6f2cdd
# Se copiaza LITERAL, inclusiv punctuatia. Nu se reformuleaza, nu se corecteaza.
# format:  <nr>	<cell_id>	<instructiune>	<acceptabil>	<incorect>

 1	L-P1	Where is CB203?	22|23	-
 2	L-P2	I need to work on a computer.	5|8|22|23	0|4
 3	L-P3	I have to attend a lab.	5|8|22	23
 4	L-P4	I'm late to class.	5|8|22	23
 5	T-P1	Where is the men toilet?	0	4
 6	T-P2	How can I get some water?	0|4	5
 7	T-P3	Where can I wash my hands?	0|4	-
 8	T-P4	My hands are dirty.	0|4	-
 9	S-P1	Take me to stay on a chair.	15	-
10	S-P2	I'm waiting for someone.	9|15	-
11	S-P3	I need to rest a bit.	9|15	-
12	S-P4	I'm tired.	9|15	-
13	W-P1	Take me to a window, please.	14|20	-
14	W-P2	I'm looking for a plant or sunlight.	13|15|19|20|21	-
15	W-P3	Where can I get some fresh air?	14	-
16	W-P4	Where can I relax a bit?	9|15	-
17	P-P1	Show me a flower.	13|15|19|20|21	-
18	P-P2	Take me to a green zone.	13|15|19|20|21	-
19	P-P3	Where can I refresh?	14	-
20	P-P4	I'm looking for a green spot.	13|15|19|20|21	-
21	H-P1	Where is the hall exit?	2	-
22	H-P2	I need to go to the other location.	ABTINERE	-
23	H-P3	I need to go out.	1|2	-
24	H-P4	I'm ready to move away.	1|2	-
25	G-1	Where is the class lab?	5|8|22|23	-
26	G-2	I want to wait for someone who is finishing the lab in CB203.	23	22
27	G-3	Where is the H sign?	ABTINERE	0|22|23|13|16
28	G-4	Where is the closest chair?	15	-
