record_key,audit_file,record_seq,experiment_id,semantic_intent_id,instruction_text,digest_content_md5,m3_preferences_count,negated,negation_markers,candidate_nodes,top_node,top_score,runner_up_node,runner_up_score,gap,matched_example,observed_resolution_step,observed_node_id,expected_node_id,nominal_status,nominal_node
day1_20260820/logs/audit_20260820_122950.jsonl#1,day1_20260820/logs/audit_20260820_122950.jsonl,1,E1,SW00,go to node 0,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",1,0,0,abstain_below_threshold,
day1_20260820/logs/audit_20260820_123127.jsonl#1,day1_20260820/logs/audit_20260820_123127.jsonl,1,E1,SW01,go to node 1,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",1,1,1,abstain_below_threshold,
day1_20260820/logs/audit_20260820_123233.jsonl#1,day1_20260820/logs/audit_20260820_123233.jsonl,1,E1,SW02,go to node 2,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",1,2,2,abstain_below_threshold,
day1_20260820/logs/audit_20260820_123335.jsonl#1,day1_20260820/logs/audit_20260820_123335.jsonl,1,E1,SW04,go to node 4,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",1,4,4,abstain_below_threshold,
day1_20260820/logs/audit_20260820_123503.jsonl#1,day1_20260820/logs/audit_20260820_123503.jsonl,1,E1,SW05,go to node 5,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",1,5,5,abstain_below_threshold,
day1_20260820/logs/audit_20260820_123638.jsonl#1,day1_20260820/logs/audit_20260820_123638.jsonl,1,E1,SW08,go to node 8,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",1,8,8,abstain_below_threshold,
day1_20260820/logs/audit_20260820_124328.jsonl#1,day1_20260820/logs/audit_20260820_124328.jsonl,1,E1,SW09,go to node 9,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",1,9,9,abstain_below_threshold,
day1_20260820/logs/audit_20260820_124531.jsonl#1,day1_20260820/logs/audit_20260820_124531.jsonl,1,E1,SW13,go to node 13,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",1,13,13,abstain_below_threshold,
day1_20260820/logs/audit_20260820_124642.jsonl#1,day1_20260820/logs/audit_20260820_124642.jsonl,1,E1,SW14,go to node 14,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",1,14,14,abstain_below_threshold,
day1_20260820/logs/audit_20260820_125530.jsonl#1,day1_20260820/logs/audit_20260820_125530.jsonl,1,E1,SW14,go to node 14,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",1,14,14,abstain_below_threshold,
day1_20260820/logs/audit_20260820_125656.jsonl#1,day1_20260820/logs/audit_20260820_125656.jsonl,1,E1,SW15,go to node 15,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",1,15,15,abstain_below_threshold,
day1_20260820/logs/audit_20260820_125656.jsonl#2,day1_20260820/logs/audit_20260820_125656.jsonl,2,E1,SW15,go to node 15,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",1,15,15,abstain_below_threshold,
day1_20260820/logs/audit_20260820_125656.jsonl#3,day1_20260820/logs/audit_20260820_125656.jsonl,3,E1,SW15,go to node 15,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",1,15,15,abstain_below_threshold,
day1_20260820/logs/audit_20260820_125837.jsonl#1,day1_20260820/logs/audit_20260820_125837.jsonl,1,E1,SW19,go to node 19,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",1,19,19,abstain_below_threshold,
day1_20260820/logs/audit_20260820_125951.jsonl#1,day1_20260820/logs/audit_20260820_125951.jsonl,1,E1,SW20,go to node 20,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",1,20,20,abstain_below_threshold,
day1_20260820/logs/audit_20260820_130207.jsonl#1,day1_20260820/logs/audit_20260820_130207.jsonl,1,E1,SW21,go to node 21,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",1,21,21,abstain_below_threshold,
day1_20260820/logs/audit_20260820_130331.jsonl#1,day1_20260820/logs/audit_20260820_130331.jsonl,1,E1,SW22,go to node 22,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",1,22,22,abstain_below_threshold,
day1_20260820/logs/audit_20260820_130509.jsonl#1,day1_20260820/logs/audit_20260820_130509.jsonl,1,E1,SW23,go to node 23,0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,14,0.0,0,0.0,0.0,"It is too hot in here, take me somewhere I can get some fresh air",1,23,23,abstain_below_threshold,
day1_20260820/logs/audit_20260820_140042.jsonl#1,day1_20260820/logs/audit_20260820_140042.jsonl,1,E1,E1bP,"the washroom got on fire, help me find something to stop the fire",0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,8,1.0,14,0.0,1.0,"the washroom got on fire, help me find something to stop the fire",0,8,8,accept,8
day1_20260820/logs/audit_20260820_140207.jsonl#1,day1_20260820/logs/audit_20260820_140207.jsonl,1,E1,E1bP,"the washroom got on fire, help me find something to stop the fire",0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,8,1.0,14,0.0,1.0,"the washroom got on fire, help me find something to stop the fire",0,8,8,accept,8
day1_20260820/logs/audit_20260820_141007.jsonl#1,day1_20260820/logs/audit_20260820_141007.jsonl,1,E1,E1bP,"the washroom got on fire, help me find something to stop the fire",0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,8,1.0,14,0.0,1.0,"the washroom got on fire, help me find something to stop the fire",0,8,8,accept,8
day1_20260820/logs/audit_20260820_141131.jsonl#1,day1_20260820/logs/audit_20260820_141131.jsonl,1,E1,E1bP,"the washroom got on fire, help me find something to stop the fire",0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,8,1.0,14,0.0,1.0,"the washroom got on fire, help me find something to stop the fire",0,8,8,accept,8
day1_20260820/logs/audit_20260820_141656.jsonl#1,day1_20260820/logs/audit_20260820_141656.jsonl,1,E1,E1bA,"the washroom got on fire, help me find something to stop the fire",0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,8,1.0,14,0.0,1.0,"the washroom got on fire, help me find something to stop the fire",0,8,8,accept,8
day1_20260820/logs/audit_20260820_141906.jsonl#1,day1_20260820/logs/audit_20260820_141906.jsonl,1,E1,E1bA,"the washroom got on fire, help me find something to stop the fire",0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,8,1.0,14,0.0,1.0,"the washroom got on fire, help me find something to stop the fire",0,8,8,accept,8
day1_20260820/logs/audit_20260820_142701.jsonl#1,day1_20260820/logs/audit_20260820_142701.jsonl,1,E1,E1bA,"the washroom got on fire, help me find something to stop the fire",0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,8,1.0,14,0.0,1.0,"the washroom got on fire, help me find something to stop the fire",0,8,8,accept,8
day1_20260820/logs/audit_20260820_142805.jsonl#1,day1_20260820/logs/audit_20260820_142805.jsonl,1,E1,E1bA,"the washroom got on fire, help me find something to stop the fire",0fd61f9e82e8fe6991f0311014384e0c,6,False,,5,8,1.0,14,0.0,1.0,"the washroom got on fire, help me find something to stop the fire",0,8,8,accept,8
